split,query_id,binary_trial_count,glap_accuracy,laion_clap_accuracy,glap_minus_laion_clap,mean_glap_margin,mean_laion_clap_margin
TEST,10435,4,0.5,0.75,-0.25,0.010623753070831299,0.15221776068210602
TEST,20364,4,0.25,1,-0.75,0.005756080150604248,-0.061907708644866943
TEST,32340,4,0.5,1,-0.5,-0.0082559734582901001,-0.056581586599349976
TEST,48442,4,0.25,1,-0.75,-0.045185640454292297,0.093989163637161255
TEST,52393,5,0.59999999999999998,0.80000000000000004,-0.20000000000000007,0.015237045288085938,-0.01200568675994873
TEST,64567,3,1,1,0,0.071717739105224609,0.23282422622044882
TEST,68840,1,1,1,0,0.085332393646240234,0.078775703907012939
TEST,68844,4,0.5,0.75,-0.25,-0.010650813579559326,-0.0047027319669723511
TEST,106277,2,1,0.5,0.5,0.06142076849937439,-0.046850234270095825
TEST,107027,3,0.33333333333333331,0.66666666666666663,-0.33333333333333331,-0.0074211359024047852,0.053862293561299644
TEST,107249,5,0.59999999999999998,0.80000000000000004,-0.20000000000000007,0.053025519847869872,-0.035185194015502928
TEST,110262,4,0.5,0.75,-0.25,0.049818843603134155,0.079135864973068237
TEST,113284,3,0.66666666666666663,0.33333333333333331,0.33333333333333331,0.025497913360595703,0.017164885997772217
TEST,120770,5,0.20000000000000001,0.40000000000000002,-0.20000000000000001,-0.028179430961608888,0.036613154411315921
TEST,124913,3,0.66666666666666663,1,-0.33333333333333337,0,0
TEST,131410,5,0.20000000000000001,0.59999999999999998,-0.39999999999999997,-0.042814457416534425,-0.1128790557384491
TRAIN,3921,6,0.5,0.33333333333333331,0.16666666666666669,-0.02509548266728719,0.037396878004074097
TRAIN,11790,6,0.66666666666666663,0.66666666666666663,0,-0.0044812460740407305,0.030878593524297077
TRAIN,41605,5,0.80000000000000004,0.80000000000000004,0,-0.016218411922454833,0.051584923267364503
TRAIN,42844,5,0.80000000000000004,0.59999999999999998,0.20000000000000007,0.013117873668670654,-0.02699960470199585
TRAIN,75317,4,0.75,0.75,0,-0.012653037905693054,-0.050327092409133911
TRAIN,84095,5,0.59999999999999998,0.59999999999999998,0,-0.00018662214279174805,-0.047831749916076659
TRAIN,86441,3,1,0.66666666666666663,0.33333333333333337,0.026431461175282795,-0.028029461701711018
TRAIN,87190,4,0.75,1,-0.25,0.04691043496131897,0.048180580139160156
TRAIN,92885,3,1,0.66666666666666663,0.33333333333333337,0.008040308952331543,-0.0055441459019978838
TRAIN,113167,5,0.59999999999999998,1,-0.40000000000000002,0.055316293239593507,-0.07729494571685791
TRAIN,114223,6,0.66666666666666663,0.5,0.16666666666666663,-0.0062243342399597168,-0.025948445002237957
TRAIN,115700,5,0.80000000000000004,1,-0.19999999999999996,0.02394794225692749,-0.0018501460552215576
TRAIN,125814,5,1,1,0,0.025548768043518067,0.050809383392333984
TRAIN,127359,3,0.33333333333333331,1,-0.66666666666666674,0.0015869339307149251,0.015667219956715901
TRAIN,134823,2,1,0,1,0.015088587999343872,-0.10031020641326904
VALIDATION,38896,6,0.33333333333333331,0.33333333333333331,0,-0.030301451683044434,-0.00065092245737711585
VALIDATION,62450,5,1,1,0,-0.16577374935150146,-0.19596781134605407
VALIDATION,94465,5,1,1,0,-0.035531723499298097,-0.052663302421569823
VALIDATION,105408,3,1,0.66666666666666663,0.33333333333333337,0.013006448745727539,-0.049360672632853188
VALIDATION,125193,4,0.75,0.75,0,0.020006626844406128,0.064768791198730469
VALIDATION,143098,3,1,0.66666666666666663,0.33333333333333337,-0.0015250643094380696,0.067586561044057206
VALIDATION,149712,5,0.59999999999999998,0.59999999999999998,0,0.011408734321594238,0.0027665972709655763
