query_id,candidate_id,factor,human_rating,merit_similarity,target_specificity,tags
821,58174,melody,1,0.8983962774790349,-0.02499999999999858,WRONG_MELODY
821,694,melody,1,0.8955710277543527,-8.958333333333329,WRONG_MELODY
821,119992,melody,3,0.877558617190185,-8.891666666666673,MIR_MISSES_HIGH_LEVEL_STRUCTURE
821,12390,melody,2,0.8710687745709446,-37.141666666666666,MIR_MISSES_HIGH_LEVEL_STRUCTURE
821,129188,rhythm,2,0.8772555442497639,-25.14166666666667,MIR_MISSES_HIGH_LEVEL_STRUCTURE
821,134791,rhythm,0,0.8735869333858786,-1.1333333333333364,WRONG_RHYTHM
821,122364,rhythm,1,0.8560222163440693,-66.84166666666667,WRONG_RHYTHM
821,132963,rhythm,1,0.8487833641625455,-43.733333333333334,WRONG_RHYTHM
821,137211,rhythm,1,0.8481322318681643,-34.71666666666667,WRONG_RHYTHM
821,109684,timbre,1,0.9679744163631544,45.416666666666664,TECHNICALLY_SIMILAR_NOT_PERCEPTUALLY_USEFUL
821,82778,timbre,1,0.9617289829753785,17.141666666666666,TECHNICALLY_SIMILAR_NOT_PERCEPTUALLY_USEFUL
14601,43023,melody,2,0.9264214258844861,-2.0500000000000114,MIR_MISSES_HIGH_LEVEL_STRUCTURE
14601,96168,melody,NAN,0.8910669957360383,-19.566666666666656,WRONG_MELODY
14601,11674,rhythm,NAN,0.9593998128618461,-35.300000000000004,WRONG_RHYTHM
14601,4233,rhythm,NAN,0.9545977809630846,-39.683333333333344,WRONG_RHYTHM
14601,113360,rhythm,NAN,0.9374797032814217,-32.758333333333326,WRONG_RHYTHM
14601,105685,rhythm,NAN,0.9357547627524838,-37.53333333333334,WRONG_RHYTHM
14601,126508,rhythm,NAN,0.9336396237581104,-29.508333333333326,WRONG_RHYTHM
14601,43023,timbre,NAN,0.9983082563110086,33.025000000000006,TECHNICALLY_SIMILAR_NOT_PERCEPTUALLY_USEFUL
14601,11782,timbre,NAN,0.9965650130251507,38.35000000000001,TECHNICALLY_SIMILAR_NOT_PERCEPTUALLY_USEFUL
14601,4233,timbre,NAN,0.9955579803073745,30.96666666666667,TECHNICALLY_SIMILAR_NOT_PERCEPTUALLY_USEFUL
14601,4848,timbre,NAN,0.9951944923411522,36.35833333333333,TECHNICALLY_SIMILAR_NOT_PERCEPTUALLY_USEFUL
14601,52121,timbre,NAN,0.9948328589253721,-4.5,WRONG_TIMBRE
26307,78998,melody,0,0.8890944595579673,40.491666666666674,TECHNICALLY_SIMILAR_NOT_PERCEPTUALLY_USEFUL
26307,108012,melody,0,0.8877383763730693,39.36666666666666,TECHNICALLY_SIMILAR_NOT_PERCEPTUALLY_USEFUL
26307,63257,rhythm,0,0.7554979639385422,-20.491666666666667,WRONG_RHYTHM
26307,148,rhythm,0,0.7429367124035179,1.8416666666666686,TECHNICALLY_SIMILAR_NOT_PERCEPTUALLY_USEFUL
26307,72787,rhythm,2,0.7144774765972776,-40.50833333333333,MIR_MISSES_HIGH_LEVEL_STRUCTURE
26307,29128,rhythm,1,0.7089585517510253,-31.39166666666666,WRONG_RHYTHM
26307,61159,rhythm,1,0.7046609617579493,-56.2,WRONG_RHYTHM
26307,122808,timbre,0,0.9386355858031549,-8.791666666666664,WRONG_TIMBRE
26307,81868,timbre,1,0.9273176109929996,34.983333333333334,TECHNICALLY_SIMILAR_NOT_PERCEPTUALLY_USEFUL
26307,143058,timbre,0,0.9231951209151188,35.50000000000001,TECHNICALLY_SIMILAR_NOT_PERCEPTUALLY_USEFUL
26307,55100,timbre,NAN,0.9164349237942102,-38.599999999999994,WRONG_TIMBRE
32693,21995,melody,1,0.9141889122457132,21.783333333333324,TECHNICALLY_SIMILAR_NOT_PERCEPTUALLY_USEFUL
32693,114291,melody,NAN,0.9095369681535671,57.93333333333334,TECHNICALLY_SIMILAR_NOT_PERCEPTUALLY_USEFUL
32693,212,rhythm,NAN,0.896376537326188,-37.76666666666667,WRONG_RHYTHM
32693,12174,rhythm,NAN,0.882273509869308,-28.958333333333336,WRONG_RHYTHM
