track_id,top_genre,artist,title,seed_used
36380,Electronic,Pixelord,Cybernator (CC BY-NC-SA 3.0),20260822
91621,Electronic,Rolemusic,Another beek beep beer please,20260822
118921,Electronic,Little Glass Men,Westside Chillers,20260822
26307,Experimental,Karl Blau,96,20260822
47200,Experimental,Asian Women on the Telephone,Horror Sympony,20260822
48862,Experimental,NaDa BaBa,Thursday Morning In London (Falluja Mix),20260822
138406,Folk,Derek Clegg,Fair,20260822
138413,Folk,Derek Clegg,Frozen,20260822
146961,Folk,Derek Clegg,Four Walls,20260822
32693,Hip-Hop,transient,Organic,20260822
55102,Hip-Hop,Alaclair Ensemble,Swing Deo,20260822
56496,Hip-Hop,Opio,Cannabis Club Skit,20260822
122651,Instrumental,Josh Spacek,Starting Over,20260822
130993,Instrumental,Blue Dot Sessions,Turning,20260822
142094,Instrumental,TRG Banks,Night train,20260822
14601,International,Brahim Fribgane,(interview),20260822
56695,International,Corty,Dark Sound,20260822
113280,International,Athuzela Brown,You Are My Mansion,20260822
821,Pop,Hecuba,Sir,20260822
47666,Pop,Berlinist,No Love Song,20260822
131772,Pop,Microscopes,Wolfman,20260822
88959,Rock,TIGERBERRY,Dead Bodies,20260822
124186,Rock,Bloodgod,Bloodgod,20260822
133272,Rock,Movie Theater,Anger,20260822
